slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
46,10.3033778791,6.60337787906,0,3.7,55.0,0.0,0.717207106903,0.17205,227.66708374,0.989856885827,16.1078246148,0.148997377687,0.0,0.148997377687,0.265915131853,0.41491250954
47,11.0341929034,5.82415003409,0,5.21004286934,55.0,0.0,0.717941249307,0.200725,227.865142822,0.990718012271,16.1986015074,0.210988520693,0.0,0.210988520693,0.235857713804,0.446846234497
48,12.8987594403,9.19875944027,0,3.7,55.0,0.0,0.718462612944,0.2294,227.698883057,0.989995143725,17.163426131,0.158761691712,0.0,0.158761691712,0.394705570375,0.553467262087
49,54.3060384979,6.71568607605,0,47.5903524219,55.0,0.0,0.725168526239,0.258075,217.722091675,0.94661778989,13.2794093958,1.57992943275,0.0,1.57992943275,0.222950861943,1.80288029469
50,46.955193052,7.49095686482,0,39.4642361872,55.0,0.0,0.730729395884,0.28675,220.384155273,0.95819197945,13.6629835385,1.34799802346,0.0,1.34799802346,0.25587205083,1.60387007429
51,99.7576122471,7.71155868066,0,92.0460535665,55.0,0.0,0.743699521614,0.315425,219.179580688,0.952954698646,12.4471151596,2.86426957181,0.0,2.86426957181,0.239966647395,3.10423621921
52,98.0842736062,7.29412415097,0,90.7901494552,55.0,0.0,0.756492679037,0.3441,219.958694458,0.956342149817,12.8632651116,2.91964440492,0.0,2.91964440492,0.234565631778,3.1542100367
53,85.6901982481,6.88611940086,0,78.8040788473,55.0,0.0,0.767596890147,0.372775,218.778793335,0.951212144935,12.3866773896,2.44030175417,0.0,2.44030175417,0.213240348712,2.65354210288
54,94.7186243577,6.66223066834,0,88.0563936894,55.0,0.0,0.780004836531,0.40145,218.906097412,0.951765640922,11.7917266031,2.59584230009,0.0,2.59584230009,0.196398006519,2.79224030661
55,95.1542256659,7.64540148814,0,87.5088241778,55.0,0.0,0.792335625392,0.430125,218.601852417,0.950442836596,11.8743086028,2.5977669594,0.0,2.5977669594,0.226959641657,2.82472660105
56,98.3838252884,6.54592088785,0,91.8379044006,55.0,0.0,0.805276421012,0.4588,219.840484619,0.955828193996,11.4215587341,2.62233004781,0.0,2.62233004781,0.186911549723,2.80924159753
57,91.4489710466,6.34897104662,0,85.1,55.0,0.0,0.817267784649,0.487475,219.946243286,0.956288014288,10.8603190406,2.3105328759,0.0,2.3105328759,0.172379627865,2.48291250376
58,89.0801998805,6.08223496377,0,82.9979649168,55.0,0.0,0.828962952432,0.51615,219.531845093,0.954486283012,10.8696515906,2.25539740343,0.0,2.25539740343,0.16527943737,2.4206768408
59,94.6757590461,4.92496858654,0,89.7507904595,55.0,0.0,0.841609654724,0.544825,218.201202393,0.948700879968,11.1832036057,2.50925340871,0.0,2.50925340871,0.137692316138,2.64694572485
60,94.5206459867,6.4154765332,0,88.1051694535,55.0,0.0,0.854024474057,0.5735,218.963867188,0.952016813859,11.0725401885,2.43887007397,0.0,2.43887007397,0.177589054356,2.61645912832
61,92.284933428,7.18493342802,0,85.1,55.0,0.0,0.866015837693,0.602175,217.919372559,0.947475532863,11.2387926879,2.39105314434,0.0,2.39105314434,0.201874943184,2.59292808753
62,91.1665953978,7.37349984966,0,83.7930955482,55.0,0.0,0.877823046611,0.63085,217.608688354,0.946124731976,10.9167299283,2.28686648488,0.0,2.28686648488,0.201236266212,2.48810275109
63,101.667395552,9.1673955524,0,92.5,55.0,0.0,0.89085713752,0.659525,217.695220947,0.94650096064,10.3904253741,2.40278586776,0.0,2.40278586776,0.238132848405,2.64091871616
64,102.581782472,6.68178247202,0,95.9,55.0,0.0,0.904370319338,0.6882,218.433242798,0.949709751295,10.3558795951,2.48282213293,0.0,2.48282213293,0.172989336902,2.65581146983
65,90.3304530408,5.23045304081,0,85.1,55.0,0.0,0.916361682975,0.716875,218.16847229,0.948558575174,9.78383857715,2.08151165729,0.0,2.08151165729,0.127934770592,2.20944642788
66,90.8911606543,5.79116065425,0,85.1,55.0,0.0,0.928353046611,0.74555,217.719223022,0.946605317489,9.0409907688,1.92347078606,0.0,1.92347078606,0.130894575039,2.0543653611
67,91.4583009754,6.3583009754,0,85.1,55.0,0.0,0.940344410247,0.774225,217.956451416,0.947636745287,8.66754483305,1.84402016323,0.0,1.84402016323,0.137777146916,1.98179731015
68,99.0077161923,6.80771619232,0,92.2,55.0,0.0,0.953336228429,0.8029,217.010971069,0.943525961171,9.06576638959,2.0896591528,0.0,2.0896591528,0.154292911615,2.24395206441
69,82.6641472291,9.11979365071,0,73.5443535784,55.0,0.0,0.963699296433,0.831575,218.074996948,0.948152160645,11.2909738663,2.07596843566,0.0,2.07596843566,0.25742837944,2.3333968151
70,91.4332059538,8.47792485017,0,82.9552811036,55.0,0.0,0.97538844968,0.86025,219.480667114,0.954263770062,11.7482571018,2.43644992588,0.0,2.43644992588,0.249002102073,2.68545202796
71,76.7828363661,11.1702445296,0,65.6125918365,55.0,0.0,0.984633860348,0.888925,217.661651611,0.946355007006,12.1730300078,1.99676012328,0.0,1.99676012328,0.339939304633,2.33669942791
72,81.673351958,9.90818978256,0,71.7651621755,55.0,0.0,0.994746224109,0.9176,216.936584473,0.943202541185,13.1428169027,2.35799096616,0.0,2.35799096616,0.325553810374,2.68354477654
73,26.5517303921,10.5079530235,0,16.0437773686,55.0,0.0,0.997006938193,0.946275,224.865112305,0.977674401325,14.9103199843,0.598044635809,0.0,0.598044635809,0.391692354901,0.98973699071
74,40.0561842992,22.0473585692,0,18.00882573,54.0,0.0,0.999544545455,0.97495,224.18031311,0.974697013523,15.2565314551,0.686880540549,0.0,0.686880540549,0.840915548779,1.52779608933
75,25.3831190633,22.1508609988,0,3.23225806452,53.0,0.0,1.0,1.0,226.835266113,0.986240287449,17.2714448807,0.139564417504,0.0,0.139564417504,0.956443437001,1.0960078545
76,24.5480151921,24.5480151921,0,0.0,53.0,0.0,1.0,1.0,225.601959229,0.980878083602,16.7686168245,0.0,0.0,0.0,1.02909065139,1.02909065139
77,24.4209101738,24.4209101738,0,0.0,52.0,0.0,1.0,1.0,224.266723633,0.975072711447,19.2105386435,0.0,0.0,0.0,1.17284709651,1.17284709651
78,30.09343215,30.09343215,0,0.0,52.0,0.0,1.0,1.0,226.443328857,0.984536212424,19.3399650841,0.0,0.0,0.0,1.4550148176,1.4550148176
79,20.6305160637,20.6305160637,0,0.0,48.0,0.0,1.0,1.0,226.737838745,0.985816690196,20.0580070252,0.0,0.0,0.0,1.03451759035,1.03451759035
80,17.3681920939,17.3681920939,0,0.0,47.0,0.0,1.0,1.0,225.196838379,0.979116688604,19.5913626164,0.0,0.0,0.0,0.850666373258,0.850666373258
81,23.539446156,23.539446156,0,0.0,43.0,0.0,1.0,1.0,226.071304321,0.98291871444,20.8802016539,0.0,0.0,0.0,1.2287709564,1.2287709564
82,21.3023603752,21.3023603752,0,0.0,40.0,0.0,1.0,1.0,227.177352905,0.987727621327,20.5192221302,0.0,0.0,0.0,1.09276966109,1.09276966109
83,16.9728278251,16.9728278251,0,0.0,35.0,0.0,1.0,1.0,225.420806885,0.980090464716,19.4065765975,0.0,0.0,0.0,0.823461208161,0.823461208161
84,18.4921712837,18.4921712837,0,0.0,30.0,0.0,1.0,1.0,227.235061646,0.987978528894,20.6322140597,0.0,0.0,0.0,0.953836090883,0.953836090883
85,18.6899094289,18.6899094289,0,0.0,23.0,0.0,1.0,1.0,227.521820068,0.989225304645,20.342795476,0.0,0.0,0.0,0.950512512445,0.950512512445
86,23.3794779246,23.3794779246,0,0.0,18.0,0.0,1.0,1.0,225.807067871,0.981769860309,19.5852153993,0.0,0.0,0.0,1.14473027769,1.14473027769
87,24.2249047936,24.2249047936,0,0.0,16.0,0.0,1.0,1.0,227.113464355,0.987449845024,18.5051006615,0.0,0.0,0.0,1.1207107543,1.1207107543
88,25.525209043,25.525209043,0,0.0,15.0,0.0,1.0,1.0,226.97088623,0.986829940132,18.2162754336,0.0,0.0,0.0,1.16243559607,1.16243559607
89,19.6737772944,19.6737772944,0,0.0,14.0,0.0,1.0,1.0,227.685028076,0.989934904679,17.9607404236,0.0,0.0,0.0,0.883389017844,0.883389017844
90,29.4866319697,29.4866319697,0,0.0,14.0,0.0,1.0,1.0,225.656097412,0.981113467009,17.1230113685,0.0,0.0,0.0,1.26224983609,1.26224983609
91,18.5913622854,18.5913622854,0,0.0,13.0,0.0,1.0,1.0,227.853683472,0.990668189007,17.6331491079,0.0,0.0,0.0,0.819560658241,0.819560658241
92,21.4829391213,21.4829391213,0,0.0,11.0,0.0,1.0,1.0,227.665863037,0.989851578422,17.2753585846,0.0,0.0,0.0,0.927813691927,0.927813691927
93,20.1109122295,20.1109122295,0,0.0,8.0,0.0,1.0,1.0,226.149261475,0.983257658585,18.4297806386,0.0,0.0,0.0,0.926599252079,0.926599252079
94,20.9348916877,20.9348916877,0,0.0,7.0,0.0,1.0,1.0,226.313217163,0.983970509405,18.5103173477,0.0,0.0,0.0,0.968778721946,0.968778721946
95,17.3650705416,17.3650705416,0,0.0,5.0,0.0,1.0,1.0,226.809371948,0.986127704123,18.4695256676,0.0,0.0,0.0,0.801811540219,0.801811540219
96,20.8419063444,20.8419063444,0,0.0,5.0,0.0,1.0,1.0,227.996643066,0.991289752463,19.1528668815,0.0,0.0,0.0,0.997955644426,0.997955644426
