slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,batterySOCmin,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
14,34.6871333333,34.6871333333,0,0.0,21.0,0.0,0.720641253211,0.307398407748,225.869476318,0.982041201384,21.021250000000002,0.0,0.0,0.0,1.82291725396,1.82291725396
15,30.5077333333,30.5077333333,0,0.0,26.0,0.0,0.720641253211,0.307398407748,226.728042603,0.985774098272,36.23125,0.0,0.0,0.0,2.76333328333,2.76333328333
16,43.0914,43.0914,0,0.0,27.0,0.0,0.720641253211,0.307398407748,223.44670105,0.971507395869,36.23125,0.0,0.0,0.0,3.90313821562,3.90313821562
17,44.5456666667,44.5456666667,0,0.0,30.0,0.0,0.720641253211,0.307398407748,222.728271484,0.968383789063,38.401250000000005,0.0,0.0,0.0,4.27652320521,4.27652320521
18,30.9262666667,30.9262666667,0,0.0,33.0,0.0,0.720641253211,0.307398407748,227.110641479,0.98743757165,38.401250000000005,0.0,0.0,0.0,2.96901824458,2.96901824458
19,30.0631333333,30.0631333333,0,0.0,35.0,0.0,0.720641253211,0.307398407748,227.085647583,0.987328902535,35.87125,0.0,0.0,0.0,2.69600542896,2.69600542896
20,31.5066,31.5066,0,0.0,35.0,0.0,0.720641253211,0.307398407748,226.710739136,0.985698865808,35.87125,0.0,0.0,0.0,2.82545281313,2.82545281313
21,34.4448,34.4448,0,0.0,38.0,0.0,0.720641253211,0.307398407748,226.634155273,0.985365892493,34.10625,0.0,0.0,0.0,2.9369574,2.9369574
22,36.5486666667,36.5486666667,0,0.0,41.0,0.0,0.720641253211,0.307398407748,224.947647095,0.978033248238,34.10625,0.0,0.0,0.0,3.11634490625,3.11634490625
23,35.212,35.212,0,0.0,41.0,0.0,0.720641253211,0.307398407748,226.481292725,0.984701272716,27.956250000000004,0.0,0.0,0.0,2.4609886875,2.4609886875
24,33.185,33.185,0,0.0,41.0,0.0,0.720641253211,0.307398407748,226.683288574,0.98557951554,27.956250000000004,0.0,0.0,0.0,2.31932039063,2.31932039063
25,32.5428,32.5428,0,0.0,44.0,0.0,0.720641253211,0.307398407748,226.666122437,0.985504880159,22.24125,0.0,0.0,0.0,1.80948137625,1.80948137625
26,49.7354666667,49.7354666667,0,0.0,45.0,0.0,0.720641253211,0.307398407748,221.533706665,0.963190028978,22.24125,0.0,0.0,0.0,2.76544737,2.76544737
27,58.4798,58.4798,0,0.0,48.0,0.0,0.720641253211,0.307398407748,218.699417114,0.950867030932,20.961250000000003,0.0,0.0,0.0,3.06452426938,3.06452426938
28,48.7202666667,48.7202666667,0,0.0,49.0,0.0,0.720641253211,0.307398407748,223.644042969,0.972365404212,20.961250000000003,0.0,0.0,0.0,2.55309422417,2.55309422417
29,38.1572,38.1572,0,0.0,49.0,0.0,0.720641253211,0.307398407748,224.932098389,0.977965645168,21.001250000000002,0.0,0.0,0.0,2.00337224125,2.00337224125
30,33.5458666667,33.5458666667,0,0.0,51.0,0.0,0.720641253211,0.307398407748,226.744400024,0.985845217497,21.001250000000002,0.0,0.0,0.0,1.76126283083,1.76126283083
31,36.3024,36.3024,0,0.0,51.0,0.0,0.720641253211,0.307398407748,223.009735107,0.969607543945,20.87625,0.0,0.0,0.0,1.894644945,1.894644945
32,35.3247333333,35.3247333333,0,0.0,52.0,0.0,0.720641253211,0.307398407748,226.706069946,0.985678564984,20.87625,0.0,0.0,0.0,1.84361991062,1.84361991062
33,32.1016666667,32.1016666667,0,0.0,52.0,0.0,0.720641253211,0.307398407748,226.651000977,0.985439134681,18.666249999999998,0.0,0.0,0.0,1.49804433854,1.49804433854
34,31.5546,31.5546,0,0.0,52.0,0.0,0.720641253211,0.307398407748,227.64024353,0.989740189262,18.666249999999998,0.0,0.0,0.0,1.47251513063,1.47251513063
35,33.9646,33.9646,0,0.0,53.0,0.0,0.720641253211,0.307398407748,226.734008789,0.985800038213,18.28125,0.0,0.0,0.0,1.55228835937,1.55228835937
36,30.744,30.744,0,0.0,54.0,0.0,0.720641253211,0.307398407748,227.495422363,0.989110532014,18.28125,0.0,0.0,0.0,1.405096875,1.405096875
37,28.211,28.211,0,0.0,54.0,0.0,0.720641253211,0.307398407748,227.209274292,0.987866409965,17.571250000000003,0.0,0.0,0.0,1.23925633438,1.23925633438
38,31.0927333333,31.0927333333,0,0.0,55.0,0.0,0.720641253211,0.307398407748,226.896026611,0.986504463528,17.571250000000003,0.0,0.0,0.0,1.36584547646,1.36584547646
39,28.3336,28.3336,0,0.0,55.0,0.0,0.720641253211,0.307398407748,228.11076355,0.991785928477,17.556250000000002,0.0,0.0,0.0,1.2435794125,1.2435794125
40,27.5804666667,27.5804666667,0,0.0,55.0,0.0,0.720641253211,0.307398407748,226.795852661,0.986068924614,17.556250000000002,0.0,0.0,0.0,1.21052391979,1.21052391979
41,23.8952666667,23.8952666667,0,0.0,55.0,0.0,0.720641253211,0.307398407748,228.109741211,0.991781483526,18.051250000000003,0.0,0.0,0.0,1.07834858104,1.07834858104
42,17.4196666667,17.4196666667,0,0.0,55.0,0.0,0.720641253211,0.307398407748,228.823181152,0.994883396315,18.051250000000003,0.0,0.0,0.0,0.786116894792,0.786116894792
43,14.3578666667,14.3578666667,0,0.0,55.0,0.0,0.720641253211,0.307398407748,227.395843506,0.98867758046,17.411250000000003,0.0,0.0,0.0,0.624971015,0.624971015
44,14.2176666667,14.2176666667,0,0.0,55.0,0.0,0.720641253211,0.307398407748,228.178375244,0.992079892366,17.411250000000003,0.0,0.0,0.0,0.618868371875,0.618868371875
45,35.127889619,4.6582,0,30.469689619,55.0,0.0,0.724934709475,0.307398407748,217.024841309,0.943586266559,15.131250000000001,1.15261122762,0.0,1.15261122762,0.176210971875,1.32882219949
46,37.8415299397,6.94373333333,0,30.8977966063,55.0,0.0,0.729288489906,0.3118,217.014587402,0.943541684358,15.131250000000001,1.16880571225,0.0,1.16880571225,0.2626684125,1.43147412475
47,41.7670891781,7.7962,0,33.9708891781,55.0,0.0,0.734075297017,0.338588233455,216.98928833,0.943431688392,15.08125,1.28080868104,0.0,1.28080868104,0.293941103125,1.57474978417
48,40.94753699,6.5218,0,34.42573699,55.0,0.0,0.738926196321,0.342784755185,217.014587402,0.943541684358,15.08125,1.29795786495,0.0,1.29795786495,0.245892240625,1.54385010557
49,64.4243060576,6.93033333333,0,57.4939727243,55.0,0.0,0.74702761975,0.371459755185,217.027450562,0.943597611137,11.96625,1.71996812778,0.0,1.71996812778,0.207325253125,1.9272933809
50,65.2411950637,7.35646666667,0,57.8847283971,55.0,0.0,0.755184104206,0.400134755185,217.026168823,0.943592038362,11.96625,1.73165782795,0.0,1.73165782795,0.220073298125,1.95173112608
51,105.493901182,8.02126666667,0,97.4726345151,55.0,0.0,0.768918884524,0.428809755185,218.757705688,0.951120459515,9.29625,2.26532494653,0.0,2.26532494653,0.186419250625,2.45174419715
52,105.508503218,7.5122,0,97.9963032175,55.0,0.0,0.782727454523,0.457484755185,220.248413086,0.957601796026,9.29625,2.27749533446,0.0,2.27749533446,0.174588223125,2.45208355759
53,104.100502103,6.8778,0,97.2227021032,55.0,0.0,0.796427017092,0.486159755185,217.937301636,0.947553485373,10.006250000000001,2.4320866573,0.0,2.4320866573,0.172052465625,2.60413912293
54,104.054750922,6.45853333333,0,97.5962175891,55.0,0.0,0.810179211388,0.514834755185,217.940551758,0.947567616338,10.006250000000001,2.44143038063,0.0,2.44143038063,0.161564247917,2.60299462854
55,104.018018863,7.4038,0,96.6142188628,55.0,0.0,0.823793033137,0.543509755185,218.234710693,0.948846568232,10.11625,2.44343397893,0.0,2.44343397893,0.187246729375,2.6306807083
56,101.066920212,7.83766666667,0,93.2292535449,55.0,0.0,0.8369298825,0.572184755185,219.13470459,0.952759585173,10.11625,2.35782609043,0.0,2.35782609043,0.198219488542,2.55604557897
57,104.454073669,6.73146666667,0,97.7226070027,55.0,0.0,0.850699886214,0.600859755185,217.764358521,0.946801558785,9.371250000000003,2.28945745219,0.0,2.28945745219,0.1577056425,2.44716309469
58,104.746196008,6.7962,0,97.9499960077,55.0,0.0,0.864501931106,0.629534755185,217.650878906,0.946308169158,9.371250000000003,2.29478475022,0.0,2.29478475022,0.159222223125,2.45400697334
59,105.189047628,6.52573333333,0,98.6633142943,55.0,0.0,0.87840448903,0.658209755185,217.781219482,0.946874867315,9.346250000000001,2.30533000306,0.0,2.30533000306,0.152477837917,2.45780784097
60,105.355144192,9.52,0,95.8351441922,55.0,0.0,0.891908532075,0.686884755185,217.599609375,0.946085258152,9.346250000000001,2.23924804102,0.0,2.23924804102,0.22244075,2.46168879102
61,105.767674286,7.90233333333,0,97.865340953,55.0,0.0,0.9056986483,0.715559755185,221.051727295,0.9610944665,9.286249999999999,2.27200505606,0.0,2.27200505606,0.183457607292,2.45546266335
62,105.672204131,7.86953333333,0,97.8026707973,55.0,0.0,0.919479933731,0.744234755185,221.021850586,0.960964567765,9.286249999999999,2.27055012923,0.0,2.27055012923,0.182696134792,2.45324626402
63,105.837986416,7.26353333333,0,98.5744530825,55.0,0.0,0.933369970301,0.772909755185,220.915115356,0.96050050155,9.256250000000001,2.28107445336,0.0,2.28107445336,0.168082701042,2.4491571544
64,105.877626334,8.01293333333,0,97.864693001,55.0,0.0,0.947159995224,0.801584755185,220.903167725,0.960448555324,9.256250000000001,2.26465016148,0.0,2.26465016148,0.185424285417,2.45007444689
