slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,voltage,elPrice,chCost,regRev,netCost
40,0.7074666666666666,0.7074666666666666,0,0.0,1,0,0,0,16.89075,0.0,0,0
41,0.9765333333333331,0.9765333333333331,0,0.0,1,0,0,0,14.935749999999999,0.0,0,0
42,0.3776,0.3776,0,0.0,1,0,0,0,14.935749999999999,0.0,0,0
43,0.11293333333333333,0.11293333333333333,0,0.0,1,0,0,0,15.165750000000001,0.0,0,0
44,0.25899999999999995,0.25899999999999995,0,0.0,1,0,0,0,15.165750000000001,0.0,0,0
45,0.038,0.038,0,0.0,1,0,0,0,16.01075,0.0,0,0
46,0.04533333333333334,0.04533333333333334,0,0.0,1,0,0,0,16.01075,0.0,0,0
47,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,15.770750000000001,0.0,0,0
48,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,15.770750000000001,0.0,0,0
49,0.1948,0.1948,0,0.0,1,0,0,0,17.66075,0.0,0,0
50,0.31560000000000005,0.31560000000000005,0,0.0,1,0,0,0,17.66075,0.0,0,0
51,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,16.180750000000003,0.0,0,0
52,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,16.180750000000003,0.0,0,0
53,0.061000000000000006,0.061000000000000006,0,0.0,1,0,0,0,15.020750000000001,0.0,0,0
54,0.3214666666666667,0.3214666666666667,0,0.0,1,0,0,0,15.020750000000001,0.0,0,0
55,0.17593333333333336,0.17593333333333336,0,0.0,1,0,0,0,14.82075,0.0,0,0
56,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,14.82075,0.0,0,0
57,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,12.89575,0.0,0,0
58,0.15499999999999997,0.15499999999999997,0,0.0,1,0,0,0,12.89575,0.0,0,0
59,0.1344,0.1344,0,0.0,1,0,0,0,6.285749999999999,0.0,0,0
60,0.2429999999999999,0.2429999999999999,0,0.0,1,0,0,0,6.285749999999999,0.0,0,0
61,0.07400000000000004,0.07400000000000004,0,0.0,1,0,0,0,9.580750000000002,0.0,0,0
62,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,9.580750000000002,0.0,0,0
63,0.04800000000000001,0.04800000000000001,0,0.0,1,0,0,0,11.17575,0.0,0,0
64,0.23986666666666662,0.23986666666666662,0,0.0,1,0,0,0,11.17575,0.0,0,0
65,3.3057999999999996,3.3057999999999996,0,0.0,1,0,0,0,12.85575,0.0,0,0
66,3.9077333333333333,3.9077333333333333,0,0.0,1,0,0,0,12.85575,0.0,0,0
67,0.9066666666666671,0.9066666666666671,0,0.0,1,0,0,0,14.240750000000002,0.0,0,0
68,0.8037333333333336,0.8037333333333336,0,0.0,1,0,0,0,14.240750000000002,0.0,0,0
69,0.8070000000000002,0.8070000000000002,0,0.0,1,0,0,0,16.220750000000002,0.0,0,0
70,3.1563333333333343,3.1563333333333343,0,0.0,1,0,0,0,16.220750000000002,0.0,0,0
71,3.290666666666666,3.290666666666666,0,0.0,1,0,0,0,16.795749999999998,0.0,0,0
72,1.7623333333333338,1.7623333333333338,0,0.0,1,0,0,0,16.795749999999998,0.0,0,0
73,0.691,0.691,0,0.0,1,0,0,0,17.74575,0.0,0,0
74,1.4586666666666663,1.4586666666666663,0,0.0,1,0,0,0,17.74575,0.0,0,0
75,3.6070000000000007,3.6070000000000007,0,0.0,1,0,0,0,18.78075,0.0,0,0
76,1.5231999999999999,1.5231999999999999,0,0.0,1,0,0,0,18.78075,0.0,0,0
77,2.0099999999999993,2.0099999999999993,0,0.0,1,0,0,0,16.850749999999998,0.0,0,0
78,0.6700666666666665,0.6700666666666665,0,0.0,1,0,0,0,16.850749999999998,0.0,0,0
79,0.15499999999999997,0.15499999999999997,0,0.0,0,0,0,0,16.56575,0.0,0,0
80,0.04800000000000001,0.04800000000000001,0,0.0,0,0,0,0,16.56575,0.0,0,0
81,0.04800000000000001,0.04800000000000001,0,0.0,0,0,0,0,16.180750000000003,0.0,0,0
82,0.2429999999999999,0.2429999999999999,0,0.0,0,0,0,0,16.180750000000003,0.0,0,0
83,0.21033333333333323,0.21033333333333323,0,0.0,0,0,0,0,16.88575,0.0,0,0
84,0.10506666666666668,0.10506666666666668,0,0.0,0,0,0,0,16.88575,0.0,0,0
85,0.04800000000000001,0.04800000000000001,0,0.0,0,0,0,0,16.850749999999998,0.0,0,0
86,0.04800000000000001,0.04800000000000001,0,0.0,0,0,0,0,16.850749999999998,0.0,0,0
87,0.23633333333333337,0.23633333333333337,0,0.0,0,0,0,0,16.98075,0.0,0,0
88,0.8185999999999999,0.8185999999999999,0,0.0,0,0,0,0,16.98075,0.0,0,0
89,2.6536000000000004,2.6536000000000004,0,0.0,0,0,0,0,18.335750000000004,0.0,0,0
90,1.1313333333333324,1.1313333333333324,0,0.0,0,0,0,0,18.335750000000004,0.0,0,0
91,0.14786666666666667,0.14786666666666667,0,0.0,0,0,0,0,18.31075,0.0,0,0
92,0.07653333333333336,0.07653333333333336,0,0.0,0,0,0,0,18.31075,0.0,0,0
93,0.04800000000000001,0.04800000000000001,0,0.0,0,0,0,0,18.55075,0.0,0,0
94,0.16499999999999995,0.16499999999999995,0,0.0,0,0,0,0,18.55075,0.0,0,0
95,0.8796666666666665,0.8796666666666665,0,0.0,0,0,0,0,18.43575,0.0,0,0
96,0.17833333333333334,0.17833333333333334,0,0.0,0,0,0,0,18.43575,0.0,0,0
