slot,netLoad,resLoad,pvGen,evSchedule,evAvailability,regAvailability,batterySOC,minVoltageV,minVoltagePU,elPrice,chCost,regRev,netChCost,resCost,totalCost
28,66.8853574703,39.1268666667,0,27.7584908036,53.0,0.0,0.905987107234,222.314498901,0.966584777832,18.20575,1.26341035987,0.0,1.26341035987,1.78083488204,3.04424524191
29,60.071869196,32.7916666667,0,27.2802025294,54.0,0.0,0.909540517417,223.61756897,0.972250299868,19.46075,1.32723300343,0.0,1.32723300343,1.59537606771,2.92260907114
30,66.6687897218,35.6943333333,0,30.9744563884,54.0,0.0,0.914000432177,221.164962769,0.961586794646,19.46075,1.5069653804,0.0,1.5069653804,1.73659624354,3.24356162394
31,77.4238581263,46.1002666667,0,31.3235914596,54.0,0.0,0.918380031053,219.262359619,0.95331460704,19.115750000000002,1.49693485861,0.0,1.49693485861,2.20310293133,3.70003778994
32,76.7829757291,48.1822666667,0,28.6007090624,55.0,0.0,0.923375002348,220.438140869,0.958426699431,19.115750000000002,1.36681001065,0.0,1.36681001065,2.30260041008,3.66941042073
33,75.6926734174,41.4182,0,34.2744734174,55.0,0.0,0.928204587239,220.665817261,0.959416596786,18.680750000000003,1.60068217323,0.0,1.60068217323,1.93430759913,3.53498977236
34,63.4758070947,32.6990666667,0,30.776740428,55.0,0.0,0.932541309754,222.310119629,0.966565737517,18.680750000000003,1.43733148438,0.0,1.43733148438,1.52710772408,2.96443920846
35,60.2136628053,33.3544,0,26.8592628053,55.0,0.0,0.936326024058,222.053588867,0.965450386379,17.55075,1.1785005167,0.0,1.1785005167,1.4634868395,2.6419873562
36,67.8273782424,35.1511333333,0,32.6762449091,55.0,0.0,0.940930404023,220.108551025,0.95699370011,17.55075,1.43373151335,0.0,1.43373151335,1.54232188338,2.97605339672
37,60.99812493,31.0791333333,0,29.9189915966,55.0,0.0,0.94514626193,222.296524048,0.966506626295,17.14575,1.28245887542,0.0,1.28245887542,1.33218762588,2.6146465013
38,57.6295515455,31.4958,0,26.1337515455,55.0,0.0,0.948828745102,224.135559082,0.974502430791,17.14575,1.1202069264,0.0,1.1202069264,1.35004778213,2.47025470853
39,50.9159313816,29.5538,0,21.3621313816,55.0,0.0,0.951838863615,224.194381714,0.974758181365,16.89075,0.902056051583,0.0,0.902056051583,1.24796461837,2.15002066996
40,53.0484285132,29.8373333333,0,23.2110951799,55.0,0.0,0.955109517936,224.515899658,0.97615608547,16.89075,0.980132014775,0.0,0.980132014775,1.259937345,2.24006935977
41,47.0613800337,23.9704,0,23.0909800337,55.0,0.0,0.95836324694,223.614242554,0.97223583719,14.935749999999999,0.862202762594,0.0,0.862202762594,0.8950397545,1.75724251709
42,43.2658721351,18.6180666667,0,24.6478054685,55.0,0.0,0.961836346802,224.615875244,0.976590761931,14.935749999999999,0.920333651314,0.0,0.920333651314,0.695186973042,1.61552062436
43,52.0049520785,17.4323333333,0,34.5726187452,55.0,0.0,0.96670794308,224.34413147,0.97540926726,15.165750000000001,1.31079923184,0.0,1.31079923184,0.660936023125,1.97173525496
